alloy_id,canonical_name,aliases,family,analogue_recipe_class,evidence_class,source_priority,spec_ids,nominal_composition_text,composition_elements,composition_vector_json,base_element,major_additions,product_forms,route_tags,am_supported,preferred_recipe_template,heat_treatment_summary,joining_fabrication_notes,operating_temperature_band,application_notes,known_watch_outs,match_guardrails,provenance_note,source_url_or_ref
ni_h230,HAYNES 230 alloy,230; Alloy 230,Ni-based,named_analogue,manufacturer,1,UNS N06230,"Ni balance, Cr about 22, W about 14, Mo about 2, Co about 5",Ni;Cr;W;Mo;Co,"{""Ni"": ""balance"", ""Cr"": ""22"", ""W"": ""14"", ""Mo"": ""2"", ""Co"": ""5""}",Ni,Cr;W;Mo;Co,sheet; plate; bar; pipe; combustor fabrications,wrought; forming; welding; solid_solution,limited,ni_wrought_solid_solution,Solid-solution-strengthened Ni-Cr-W-Mo alloy; use solution-annealed/high-temperature fabrication logic rather than age-hardening logic.,"Haynes notes strong fabricability and castability, with excellent long-term thermal stability and oxidation resistance.",Outstanding oxidation resistance up to about 2100F / 1149C is highlighted by Haynes.,"Combustion cans, transition ducts, flame holders and other gas-turbine hot-section fabrications.",Very W-rich chemistry will likely score poorly on sustainability/supply-risk; not an age-hardened gamma-prime analogue.,Use for W/Mo-containing oxidation-resistant Ni hot-section concepts; do not treat as a 718/282-style age-hardened route.,Haynes brochure,https://haynesintl.com/wp-content/uploads/2025/08/230-brochure.pdf
ni_h242,HAYNES 242 alloy,242; Alloy 242,Ni-based,named_analogue,manufacturer,1,UNS N10242,"Ni balance, Mo about 25, Cr about 8",Ni;Mo;Cr,"{""Ni"": ""balance"", ""Mo"": ""25"", ""Cr"": ""8""}",Ni,Mo;Cr,bar; plate; rings; casings; duct segments; fasteners,wrought; age_harden; machining,no,ni_wrought_solid_solution,"Age-hardenable Ni-Mo-Cr alloy strengthened by a long-range ordering reaction on aging; use cautious heat-treatment logic, not standard gamma-prime assumptions.",Useful for parts requiring lower thermal expansion with good strength and ductility in the aged condition.,Haynes highlights tensile and creep strength properties up to about 1200-1300F / 649-704C.,"Seal rings, containment rings, duct segments, casings, fasteners and rocket-nozzle style hardware.",A specialized Ni-Mo-Cr analogue; not a generic match for Co-rich or Nb/Ti/Al age-hardened superalloys.,"Use when candidate chemistry and application point toward Ni-Mo-Cr stability and thermal-expansion control, not when gamma-prime logic is dominant.",Haynes brochure,https://haynesintl.com/wp-content/uploads/2024/08/242-brochure.pdf
ni_h263,HAYNES 263 alloy,263; Alloy 263,Ni-based,named_analogue,manufacturer,1,UNS N07263,"Ni balance, Co about 20, Cr about 20, Mo about 6, Ti about 2.4, Al about 0.5",Ni;Co;Cr;Mo;Ti;Al,"{""Ni"": ""balance"", ""Co"": ""20"", ""Cr"": ""20"", ""Mo"": ""6"", ""Ti"": ""2.4"", ""Al"": ""0.5""}",Ni,Co;Cr;Mo;Ti;Al,sheet; plate; bar; welded fabrications,wrought; forming; welding; age_harden,limited,ni_am_or_wrought_age_hardened,Age-hardenable Ni-Co-Cr-Mo alloy intended to combine good age-hardened strength with strong fabricability and weldability.,"Haynes emphasizes excellent weldability and ductility in the annealed condition, making 263 useful where fabrication matters.",Good high-temperature strength up to about 1650F / 900C is highlighted in the Haynes brochure.,"Combustor cans, casings and fabricated gas-turbine structures where weldability matters.",Usually not as strong a creep-first analogue as 282 or Waspaloy at the top end; use when fabrication matters materially.,Prefer for weldable/fabricable Ni-Co-Cr-Mo candidates; do not force-match if the candidate is clearly Nb-rich 718-style or W-rich 230-style.,Haynes brochure,https://haynesintl.com/wp-content/uploads/2024/08/263-brochure.pdf
ni_h282,HAYNES 282 alloy,282; HAYNES 282,Ni-based,named_analogue,manufacturer+am,1,UNS N07208,"Ni balance, Cr 20, Co 10, Mo 8.5, Ti 2.1, Al 1.5, Fe max 1.5",Ni;Cr;Co;Mo;Ti;Al;Fe,"{""Ni"": ""balance"", ""Cr"": ""20"", ""Co"": ""10"", ""Mo"": ""8.5"", ""Ti"": ""2.1"", ""Al"": ""1.5"", ""Fe"": ""0-1.5""}",Ni,Cr;Co;Mo;Ti;Al,sheet; plate; rings; closed-die forgings; bar; heavy plate blanks; powder,wrought; forging; welding; LPBF/DMLS,yes,ni_am_or_wrought_age_hardened,Typical solution anneal 2050-2100F; standard age-hardening treatment 1850F / 2 h / AC + 1450F / 8 h / AC. EOS notes as-built parts need solution + aging to develop high-temperature strength.,Designed for strong fabricability and weldability relative to creep-capable superalloys; AM feedstock exists for EOS DMLS.,"Haynes positions it for high-temperature structural use; EOS positions it for aerospace, rocket engine, turbomachinery and gas-turbine parts.",Combustors; turbine and exhaust sections; nozzle components; rocket engine and gas turbine parts.,Do not treat as a no-heat-treatment alloy; high-temperature strength depends on proper solution + age route.,Do not use when the candidate lacks a Ni base or when chemistry is much closer to corrosion-first Ni-Mo systems than precipitation-strengthened superalloys.,Haynes brochure + EOS AM data sheet,https://haynesintl.com/wp-content/uploads/2023/09/282-brochure.pdf; https://www.eos.info/metal-solutions/metal-materials/data-sheets/mds-eos-nickelalloy-haynes-282
ni_in625,INCONEL alloy 625,IN625; Alloy 625,Ni-based,named_analogue,manufacturer,1,UNS N06625; W.Nr 2.4856,"Ni 58 min, Cr 20-23, Mo 8-10, Nb+Ta 3.15-4.15, Fe max 5",Ni;Cr;Mo;Nb;Fe,"{""Ni"": ""58 min"", ""Cr"": ""20-23"", ""Mo"": ""8.0-10.0"", ""Nb+Ta"": ""3.15-4.15"", ""Fe"": ""0-5""}",Ni,Cr;Mo;Nb;Fe,wrought; plate; welded fabrications; corrosion-service components,wrought; welding,limited,ni_wrought_solid_solution,Strength comes from Mo and Nb in the Ni-Cr matrix; precipitation-hardening treatments are not required.,Excellent fabricability including joining; filler metals based on 625 are used without post-weld heat treatment to maintain strength and ductility.,Service temperatures from cryogenic to about 1800F / 982C are noted in the bulletin.,Sea-water and severe-corrosion service; high-strength ductile welded fabrications.,Usually a corrosion/service analogue rather than the best creep-first hot-section analogue; avoid over-claiming AM route support from this starter row.,Do not force-match to gamma-prime-style age-hardened Ni-superalloy candidates where IN718/282-like logic is a better fit.,Special Metals bulletin,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-625.pdf
ni_in706,INCONEL alloy 706,IN706; Alloy 706,Ni-based,named_analogue,manufacturer,1,UNS N09706; AMS 5701-5703,"Ni 39.0-44.0, Cr 14.5-17.5, Fe remainder, Nb+Ta 2.5-3.3, Ti 1.5-2.0, Al max 0.40",Ni;Cr;Fe;Nb;Ti;Al,"{""Ni"": ""39.0-44.0"", ""Cr"": ""14.5-17.5"", ""Fe"": ""balance"", ""Nb+Ta"": ""2.5-3.3"", ""Ti"": ""1.5-2.0"", ""Al"": ""0-0.40""}",Ni,Cr;Nb;Ti;Al;Fe,round bar; forging stock; turbine hardware,wrought; forging; machining; age_harden,limited,ni_am_or_wrought_age_hardened,Precipitation-hardenable Ni-Fe-Cr turbine alloy; treat as wrought/forged solution-plus-age analogue rather than corrosion-service alloy.,"Special Metals positions 706 as similar in role to 718 but more readily fabricated, particularly by machining.",Primary uses include aerospace and land-based gas-turbine parts requiring creep and stress-rupture resistance up to about 1300F / 704C.,"Gas-turbine discs, shafts and other high-strength fabricable turbine components.",Lower-temperature hot-section and turbine-disc analogue rather than an ultra-high-temperature combustor sheet alloy.,Prefer for Ni-Fe-Cr age-hardenable candidates with Nb/Ti support; do not force-match to Co-dominant or refractory chemistries.,Special Metals nickel alloy handbook,https://www.specialmetals.com/documents/nickel-alloy-handbook.pdf
ni_in718,INCONEL alloy 718,IN718; Alloy 718,Ni-based,named_analogue,manufacturer+am,1,UNS N07718; AMS 5662; AMS 5664; W.Nr 2.4668; DIN NiCr19Fe19NbMo3,"Ni 50-55, Cr 17-21, Fe balance, Nb+Ta 4.75-5.50, Mo 2.80-3.30, Ti 0.65-1.15, Al 0.20-0.80",Ni;Cr;Fe;Nb;Mo;Ti;Al,"{""Ni"": ""50-55"", ""Cr"": ""17-21"", ""Fe"": ""balance"", ""Nb+Ta"": ""4.75-5.50"", ""Mo"": ""2.80-3.30"", ""Ti"": ""0.65-1.15"", ""Al"": ""0.20-0.80""}",Ni,Cr;Nb;Mo;Ti;Al,wrought; sheet; rings; casings; fasteners; powder,wrought; forging; welding; LPBF/DMLS,yes,ni_am_age_hardened,"Solution treat 1850-1900F, then age at 1450F for 6-8 h and air cool; AM parts are precipitation hardened after build.","Good weldability and resistance to post-weld cracking; AM parts can be machined, welded, shot-peened, polished and coated.",Cryogenic service noted; EOS AM sheet highlights good tensile/fatigue/creep/rupture strength up to ~700C / 1290F.,Gas turbine components; instrumentation parts; rocket and power-industry parts.,Requires precipitation hardening; manage distortion/cracking risk in AM builds and post-build heat treatment.,Do not use when Co is dominant or when chemistry drifts strongly toward corrosion-first Ni-Mo alloys rather than age-hardened Ni superalloys.,Special Metals bulletin + EOS AM data sheet,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-718.pdf; https://www.eos.info/metal-solutions/metal-materials/data-sheets/mds-eos-nickelalloy-in718
ni_x750,INCONEL alloy X-750,X-750; INCONEL X-750,Ni-based,named_analogue,manufacturer,1,UNS N07750; W.Nr. 2.4669,"Ni 70 min, Cr 14-17, Fe 5-9, Ti 2.25-2.75, Al 0.4-1.0, Nb+Ta 0.7-1.2",Ni;Cr;Fe;Ti;Al;Nb,"{""Ni"": ""70 min"", ""Cr"": ""14-17"", ""Fe"": ""5-9"", ""Ti"": ""2.25-2.75"", ""Al"": ""0.4-1.0"", ""Nb+Ta"": ""0.7-1.2""}",Ni,Cr;Fe;Ti;Al;Nb,sheet; plate; bar; forging stock; springs; fasteners,wrought; forging; age_harden; welding,limited,ni_am_or_wrought_age_hardened,Precipitation-hardenable Ni-Cr alloy; heat-treated material retains useful strength beyond 1300F and to about 1800F for some applications.,"Strong general-purpose Ni superalloy analogue for fasteners, springs and gas-turbine hardware; welding requires age-hardenable alloy discipline.",Special Metals highlights high strength to about 1300F / 700C and useful heat-treated strength to about 1800F / 982C.,"Gas turbine engineering, springs, tooling, fasteners and high-temperature fixtures.",Versatile but not the first analogue for AM-first precipitation-hardening routes; use cautiously for crack-sensitive additive concepts.,Do not prefer over 718/282/Waspaloy when the candidate is clearly a Nb/Mo-rich age-hardened hot-section superalloy.,Special Metals technical bulletin + quick reference guide,https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-x-750.pdf; https://www.specialmetals.com/documents/special-metals-quick-reference-guide.pdf
ni_waspaloy,Waspaloy,Waspaloy alloy; UNS N07001,Ni-based,named_analogue,manufacturer,1,UNS N07001; W.Nr. 2.4654,"Ni balance, Cr about 19, Co about 13.5, Mo about 4.3, Ti about 3.0, Al about 1.4, Fe max about 2",Ni;Cr;Co;Mo;Ti;Al;Fe,"{""Ni"": ""balance"", ""Cr"": ""19"", ""Co"": ""13.5"", ""Mo"": ""4.3"", ""Ti"": ""3.0"", ""Al"": ""1.4"", ""Fe"": ""0-2""}",Ni,Cr;Co;Mo;Ti;Al,wrought; forgings; bars; discs; shafts; fasteners,wrought; forging; machining; age_harden,limited,ni_am_or_wrought_age_hardened,Age-hardenable Ni-base superalloy; use wrought/forged solution and age style logic rather than solid-solution-only treatment.,Best positioned as a wrought or forged superalloy analogue for rotating hardware; fabrication is more demanding than 282/263-style alloys.,Critical rotating applications to about 1200F / 650C and less-demanding service to about 1600F / 870C are highlighted by Special Metals.,"Gas-turbine and aerospace rotating components such as shafts, discs, seals, fasteners and springs.",Not the easiest weld/fabricate route; avoid over-claiming AM readiness without process-specific evidence.,"Use for creep/strength-led Ni superalloy analogues, not for corrosion-first Ni-Mo systems or lightweight Ti-style prompts.",Special Metals technical bulletin,https://www.specialmetals.com/documents/technical-bulletins/waspoloy.pdf
ti_15mo,ATI 15Mo titanium alloy,Ti-15Mo; ATI 15Mo,Ti-based,named_analogue,manufacturer,1,UNS R58150; ASTM F2066,"Ti balance, Mo 14-16, Fe max 0.1, O max 0.15",Ti;Mo;Fe;O,"{""Ti"": ""balance"", ""Mo"": ""14-16"", ""Fe"": ""0-0.1"", ""O"": ""0-0.15""}",Ti,Mo;Fe,bar; billet; plate; sheet,wrought; anneal; solution_treat; age_harden,limited,ti_am_or_wrought_stress_relief,ATI lists anneal around 1450-1800F and notes strong beta/alpha+beta processing sensitivity; use beta titanium route logic.,"Very good hot and cold workability is reported for this beta titanium alloy, but machining and spring-back require attention.","Use as a corrosion-resistant, high-strength beta titanium analogue rather than a very-high-temperature compressor alloy.",Specialized structural and corrosion-resistant titanium use cases; often selected for formability and beta-titanium behavior.,Mo-rich beta titanium chemistry differs materially from Ti64/Ti6242 route logic; do not over-claim hot-section temperature capability.,Prefer when candidate chemistry is Ti-Mo beta-leaning; do not force-match to alpha-beta Ti64 family merely because both are titanium.,ATI product page + ATI datasheet,https://www.atimaterials.com/Products/Pages/ati-ti-15mo.aspx; https://www.atimaterials.com/Products/Documents/datasheets/titanium/alloyed/ati_15Mo_Titanium_Alloy_en_v4%20final.pdf
