candidate_id,formula_pretty,chemsys,origin_requested_chemsys,matched_query_chemsys,retrieval_mode,requested_overlap_score,n_elements,assigned_family,family_match,complexity_score,complexity_threshold,passed_complexity_gate,rejection_stage,rejection_reason,survives_baseline,case_id
mp-1228914,Al4CrNi15,Al-Cr-Ni,Ni-Cr-Al,Ni-Cr-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1229050,Al18Co5Ni3,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1228972,AlCoNi6,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1228742,Al9Co2Ni,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-10885,AlCrNi2,Al-Cr-Ni,Ni-Cr-Al,Ni-Cr-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1228913,Al2CoNi,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1214822,AlCo2Ni,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1214804,AlCo2Ni,Al-Co-Ni,Ni-Co-Al,Ni-Co-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-1228985,AlCrNi,Al-Cr-Ni,Ni-Cr-Al,Ni-Cr-Al,exact,3,3,Ni-based superalloy-like candidate,True,3.0,3.0,True,,,True,hot_section_creep_am
mp-10883,AlCrCo2,Al-Co-Cr,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1008277,CrCo2As,As-Co-Cr,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1018080,CrCo2Bi,Bi-Co-Cr,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1183740,CrCo2Ge,Co-Cr-Ge,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1018082,CrCo2Sb,Co-Cr-Sb,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1008224,CrCo2Si,Co-Cr-Si,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1206397,CrCoAs,As-Co-Cr,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1206044,CrCoBr3,Br-Co-Cr,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-10394,CrCoGe,Co-Cr-Ge,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226287,CrCoPt2,Co-Cr-Pt,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-570863,CrCoPt2,Co-Cr-Pt,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1095673,CrCoSi,Co-Cr-Si,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226249,CrCoSi2,Co-Cr-Si,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-567981,CrGaCo2,Co-Cr-Ga,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-16735,CrInCo2,Co-Cr-In,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1195916,Ho2Cr2Co15,Co-Cr-Ho,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1028407,Mg14CrCo,Co-Cr-Mg,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1028410,Mg14CrCo,Co-Cr-Mg,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1022048,Mg6CrCo,Co-Cr-Mg,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1022092,Mg6CrCo,Co-Cr-Mg,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-864955,Mn2CrCo,Co-Cr-Mn,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1222067,Mn4Cr(Co2Ge)5,Co-Cr-Ge-Mn,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1221846,Mn4Cr(Co2Si)5,Co-Cr-Mn-Si,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1221808,Mn4Cr(Co2Sn)5,Co-Cr-Mn-Sn,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1222191,Mn4Cr(GaCo2)5,Co-Cr-Ga-Mn,Co-Cr-W,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1229047,AlCoW,Al-Co-W,Co-Cr-W,Co+W,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not restore the missing requested anchor element.,False,hot_section_creep_am
mp-631696,Ca2CoW,Ca-Co-W,Co-Cr-W,Co+W,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226107,CoSiW,Co-Si-W,Co-Cr-W,Co+W,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1192784,Hf9CoW4,Co-Hf-W,Co-Cr-W,Co+W,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not restore the missing requested anchor element.,False,hot_section_creep_am
mp-1028395,Mg14CoW,Co-Mg-W,Co-Cr-W,Co+W,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
